"Town","FIPS","Organization","Value"
"Andover","0901301080","Regional Planning Area","Capitol Region Planning Area"
"Ansonia","0900901220","Regional Planning Area","Naugatuck Valley Planning Area"
"Ashford","0901501430","Regional Planning Area","Northeastern Planning Area"
"Avon","0900302060","Regional Planning Area","Capitol Region Planning Area"
"Barkhamsted","0900502760","Regional Planning Area","Northwest Hills Planning Area"
"Beacon Falls","0900903250","Regional Planning Area","Naugatuck Valley Planning Area"
"Berlin","0900304300","Regional Planning Area","Capitol Region Planning Area"
"Bethany","0900904580","Regional Planning Area","South Central Planning Area"
"Bethel","0900104720","Regional Planning Area","Western Planning Area"
"Bethlehem","0900504930","Regional Planning Area","Naugatuck Valley Planning Area"
"Bloomfield","0900305910","Regional Planning Area","Capitol Region Planning Area"
"Bolton","0901306260","Regional Planning Area","Capitol Region Planning Area"
"Bozrah","0901106820","Regional Planning Area","Southeastern Planning Area"
"Branford","0900907310","Regional Planning Area","South Central Planning Area"
"Bridgeport","0900108070","Regional Planning Area","Metropolitan Planning Area"
"Bridgewater","0900508210","Regional Planning Area","Western Planning Area"
"Bristol","0900308490","Regional Planning Area","Naugatuck Valley Planning Area"
"Brookfield","0900108980","Regional Planning Area","Western Planning Area"
"Brooklyn","0901509190","Regional Planning Area","Northeastern Planning Area"
"Burlington","0900310100","Regional Planning Area","Northwest Hills Planning Area"
"Canaan","0900510940","Regional Planning Area","Northwest Hills Planning Area"
"Canterbury","0901512130","Regional Planning Area","Northeastern Planning Area"
"Canton","0900312270","Regional Planning Area","Capitol Region Planning Area"
"Chaplin","0901513810","Regional Planning Area","Northeastern Planning Area"
"Cheshire","0900914160","Regional Planning Area","Naugatuck Valley Planning Area"
"Chester","0900714300","Regional Planning Area","Lower CT River Valley Planning Area"
"Clinton","0900715350","Regional Planning Area","Lower CT River Valley Planning Area"
"Colchester","0901115910","Regional Planning Area","Southeastern Planning Area"
"Colebrook","0900516050","Regional Planning Area","Northwest Hills Planning Area"
"Columbia","0901316400","Regional Planning Area","Capitol Region Planning Area"
"Cornwall","0900517240","Regional Planning Area","Northwest Hills Planning Area"
"Coventry","0901317800","Regional Planning Area","Capitol Region Planning Area"
"Cromwell","0900718080","Regional Planning Area","Lower CT River Valley Planning Area"
"Danbury","0900118500","Regional Planning Area","Western Planning Area"
"Darien","0900118850","Regional Planning Area","Western Planning Area"
"Deep River","0900719130","Regional Planning Area","Lower CT River Valley Planning Area"
"Derby","0900919550","Regional Planning Area","Naugatuck Valley Planning Area"
"Durham","0900720810","Regional Planning Area","Lower CT River Valley Planning Area"
"Eastford","0901521860","Regional Planning Area","Northeastern Planning Area"
"East Granby","0900322070","Regional Planning Area","Capitol Region Planning Area"
"East Haddam","0900722280","Regional Planning Area","Lower CT River Valley Planning Area"
"East Hampton","0900722490","Regional Planning Area","Lower CT River Valley Planning Area"
"East Hartford","0900322630","Regional Planning Area","Capitol Region Planning Area"
"East Haven","0900922910","Regional Planning Area","South Central Planning Area"
"East Lyme","0901123400","Regional Planning Area","Southeastern Planning Area"
"Easton","0900123890","Regional Planning Area","Metropolitan Planning Area"
"East Windsor","0900324800","Regional Planning Area","Capitol Region Planning Area"
"Ellington","0901325360","Regional Planning Area","Capitol Region Planning Area"
"Enfield","0900325990","Regional Planning Area","Capitol Region Planning Area"
"Essex","0900726270","Regional Planning Area","Lower CT River Valley Planning Area"
"Fairfield","0900126620","Regional Planning Area","Metropolitan Planning Area"
"Farmington","0900327600","Regional Planning Area","Capitol Region Planning Area"
"Franklin","0901129910","Regional Planning Area","Southeastern Planning Area"
"Glastonbury","0900331240","Regional Planning Area","Capitol Region Planning Area"
"Goshen","0900532290","Regional Planning Area","Northwest Hills Planning Area"
"Granby","0900332640","Regional Planning Area","Capitol Region Planning Area"
"Greenwich","0900133620","Regional Planning Area","Western Planning Area"
"Griswold","0901133900","Regional Planning Area","Southeastern Planning Area"
"Groton","0901134250","Regional Planning Area","Southeastern Planning Area"
"Guilford","0900934950","Regional Planning Area","South Central Planning Area"
"Haddam","0900735230","Regional Planning Area","Lower CT River Valley Planning Area"
"Hamden","0900935650","Regional Planning Area","South Central Planning Area"
"Hampton","0901536000","Regional Planning Area","Northeastern Planning Area"
"Hartford","0900337070","Regional Planning Area","Capitol Region Planning Area"
"Hartland","0900337140","Regional Planning Area","Northwest Hills Planning Area"
"Harwinton","0900537280","Regional Planning Area","Northwest Hills Planning Area"
"Hebron","0901337910","Regional Planning Area","Capitol Region Planning Area"
"Kent","0900540290","Regional Planning Area","Northwest Hills Planning Area"
"Killingly","0901540500","Regional Planning Area","Northeastern Planning Area"
"Killingworth","0900740710","Regional Planning Area","Lower CT River Valley Planning Area"
"Lebanon","0901142390","Regional Planning Area","Southeastern Planning Area"
"Ledyard","0901142600","Regional Planning Area","Southeastern Planning Area"
"Lisbon","0901143230","Regional Planning Area","Southeastern Planning Area"
"Litchfield","0900543370","Regional Planning Area","Northwest Hills Planning Area"
"Lyme","0901144210","Regional Planning Area","Lower CT River Valley Planning Area"
"Madison","0900944560","Regional Planning Area","South Central Planning Area"
"Manchester","0900344700","Regional Planning Area","Capitol Region Planning Area"
"Mansfield","0901344910","Regional Planning Area","Capitol Region Planning Area"
"Marlborough","0900345820","Regional Planning Area","Capitol Region Planning Area"
"Meriden","0900946520","Regional Planning Area","South Central Planning Area"
"Middlebury","0900946940","Regional Planning Area","Naugatuck Valley Planning Area"
"Middlefield","0900747080","Regional Planning Area","Lower CT River Valley Planning Area"
"Middletown","0900747360","Regional Planning Area","Lower CT River Valley Planning Area"
"Milford","0900947535","Regional Planning Area","South Central Planning Area"
"Monroe","0900148620","Regional Planning Area","Metropolitan Planning Area"
"Montville","0901148900","Regional Planning Area","Southeastern Planning Area"
"Morris","0900549460","Regional Planning Area","Northwest Hills Planning Area"
"Naugatuck","0900949950","Regional Planning Area","Naugatuck Valley Planning Area"
"New Britain","0900350440","Regional Planning Area","Capitol Region Planning Area"
"New Canaan","0900150580","Regional Planning Area","Western Planning Area"
"New Fairfield","0900150860","Regional Planning Area","Western Planning Area"
"New Hartford","0900551350","Regional Planning Area","Northwest Hills Planning Area"
"New Haven","0900952070","Regional Planning Area","South Central Planning Area"
"Newington","0900352140","Regional Planning Area","Capitol Region Planning Area"
"New London","0901152350","Regional Planning Area","Southeastern Planning Area"
"New Milford","0900552630","Regional Planning Area","Western Planning Area"
"Newtown","0900152980","Regional Planning Area","Western Planning Area"
"Norfolk","0900553470","Regional Planning Area","Northwest Hills Planning Area"
"North Branford","0900953890","Regional Planning Area","South Central Planning Area"
"North Canaan","0900554030","Regional Planning Area","Northwest Hills Planning Area"
"North Haven","0900954870","Regional Planning Area","South Central Planning Area"
"North Stonington","0901155500","Regional Planning Area","Southeastern Planning Area"
"Norwalk","0900156060","Regional Planning Area","Western Planning Area"
"Norwich","0901156270","Regional Planning Area","Southeastern Planning Area"
"Old Lyme","0901157040","Regional Planning Area","Lower CT River Valley Planning Area"
"Old Saybrook","0900757320","Regional Planning Area","Lower CT River Valley Planning Area"
"Orange","0900957600","Regional Planning Area","South Central Planning Area"
"Oxford","0900958300","Regional Planning Area","Naugatuck Valley Planning Area"
"Plainfield","0901559980","Regional Planning Area","Northeastern Planning Area"
"Plainville","0900360120","Regional Planning Area","Capitol Region Planning Area"
"Plymouth","0900560750","Regional Planning Area","Naugatuck Valley Planning Area"
"Pomfret","0901561030","Regional Planning Area","Northeastern Planning Area"
"Portland","0900761800","Regional Planning Area","Lower CT River Valley Planning Area"
"Preston","0901162150","Regional Planning Area","Southeastern Planning Area"
"Prospect","0900962290","Regional Planning Area","Naugatuck Valley Planning Area"
"Putnam","0901562710","Regional Planning Area","Northeastern Planning Area"
"Redding","0900163480","Regional Planning Area","Western Planning Area"
"Ridgefield","0900163970","Regional Planning Area","Western Planning Area"
"Rocky Hill","0900365370","Regional Planning Area","Capitol Region Planning Area"
"Roxbury","0900565930","Regional Planning Area","Northwest Hills Planning Area"
"Salem","0901166210","Regional Planning Area","Southeastern Planning Area"
"Salisbury","0900566420","Regional Planning Area","Northwest Hills Planning Area"
"Scotland","0901567400","Regional Planning Area","Northeastern Planning Area"
"Seymour","0900967610","Regional Planning Area","Naugatuck Valley Planning Area"
"Sharon","0900567960","Regional Planning Area","Northwest Hills Planning Area"
"Shelton","0900168170","Regional Planning Area","Naugatuck Valley Planning Area"
"Sherman","0900168310","Regional Planning Area","Western Planning Area"
"Simsbury","0900368940","Regional Planning Area","Capitol Region Planning Area"
"Somers","0901369220","Regional Planning Area","Capitol Region Planning Area"
"Southbury","0900969640","Regional Planning Area","Naugatuck Valley Planning Area"
"Southington","0900370550","Regional Planning Area","Capitol Region Planning Area"
"South Windsor","0900371390","Regional Planning Area","Capitol Region Planning Area"
"Sprague","0901171670","Regional Planning Area","Southeastern Planning Area"
"Stafford","0901372090","Regional Planning Area","Capitol Region Planning Area"
"Stamford","0900173070","Regional Planning Area","Western Planning Area"
"Sterling","0901573420","Regional Planning Area","Northeastern Planning Area"
"Stonington","0901173770","Regional Planning Area","Southeastern Planning Area"
"Stratford","0900174190","Regional Planning Area","Metropolitan Planning Area"
"Suffield","0900374540","Regional Planning Area","Capitol Region Planning Area"
"Thomaston","0900575730","Regional Planning Area","Naugatuck Valley Planning Area"
"Thompson","0901575870","Regional Planning Area","Northeastern Planning Area"
"Tolland","0901376290","Regional Planning Area","Capitol Region Planning Area"
"Torrington","0900576570","Regional Planning Area","Northwest Hills Planning Area"
"Trumbull","0900177200","Regional Planning Area","Metropolitan Planning Area"
"Union","0901377830","Regional Planning Area","Northeastern Planning Area"
"Vernon","0901378250","Regional Planning Area","Capitol Region Planning Area"
"Voluntown","0901178600","Regional Planning Area","Northeastern Planning Area"
"Wallingford","0900978740","Regional Planning Area","South Central Planning Area"
"Warren","0900579510","Regional Planning Area","Northwest Hills Planning Area"
"Washington","0900579720","Regional Planning Area","Northwest Hills Planning Area"
"Waterbury","0900980070","Regional Planning Area","Naugatuck Valley Planning Area"
"Waterford","0901180280","Regional Planning Area","Southeastern Planning Area"
"Watertown","0900580490","Regional Planning Area","Naugatuck Valley Planning Area"
"Westbrook","0900781680","Regional Planning Area","Lower CT River Valley Planning Area"
"West Hartford","0900382590","Regional Planning Area","Capitol Region Planning Area"
"West Haven","0900982870","Regional Planning Area","South Central Planning Area"
"Weston","0900183430","Regional Planning Area","Western Planning Area"
"Westport","0900183500","Regional Planning Area","Western Planning Area"
"Wethersfield","0900384900","Regional Planning Area","Capitol Region Planning Area"
"Willington","0901385950","Regional Planning Area","Capitol Region Planning Area"
"Wilton","0900186370","Regional Planning Area","Western Planning Area"
"Winchester","0900586440","Regional Planning Area","Northwest Hills Planning Area"
"Windham","0901586790","Regional Planning Area","Southeastern Planning Area"
"Windsor","0900387000","Regional Planning Area","Capitol Region Planning Area"
"Windsor Locks","0900387070","Regional Planning Area","Capitol Region Planning Area"
"Wolcott","0900987560","Regional Planning Area","Naugatuck Valley Planning Area"
"Woodbridge","0900987700","Regional Planning Area","South Central Planning Area"
"Woodbury","0900587910","Regional Planning Area","Naugatuck Valley Planning Area"
"Woodstock","0901588190","Regional Planning Area","Northeastern Planning Area"
